candidate,announced,"
suspended",campaignLength,party,year,wonNomination,imcumbant,daysUntilConventionAnnounced,daysUntilConventionSuspended
Barack Obama,2/10/2007,8/27/2008,564,D,2008,1,0,564,0
Bill Richardson,1/21/2007,1/10/2008,354,D,2008,0,0,584,230
Chris Dodd,1/11/2007,1/3/2008,357,D,2008,0,0,594,237
Dennis Kucinich,12/11/2006,1/23/2008,408,D,2008,0,0,625,217
Hillary Clinton '08,1/20/2007,6/7/2008,504,D,2008,0,0,585,81
Joe Biden '08,1/7/2007,1/3/2008,361,D,2008,0,0,598,237
John Edwards,12/28/2006,1/30/2008,398,D,2008,0,0,608,210
Mike Gravel '08,4/17/2006,3/26/2008,709,D,2008,0,0,863,154
Tom Vilsack,11/30/2006,2/23/2007,85,D,2008,0,0,636,551
Bernie Sanders '16,5/26/2015,7/26/2016,427,D,2016,0,0,427,0
Hillary Clinton '16,4/12/2015,7/26/2016,471,D,2016,1,0,471,0
Jim Webb,7/2/2015,10/20/2015,110,D,2016,0,0,390,280
Lawrence Lessig,9/6/2015,11/2/2015,57,D,2016,0,0,324,267
Lincoln Chafee,6/3/2015,10/23/2015,142,D,2016,0,0,419,277
Martin O'Malley,5/30/2015,2/1/2016,247,D,2016,0,0,423,176
Amy Klobuchar,2/10/2019,3/2/2020,386,D,2020,0,0,555,169
Andrew Yang,11/6/2017,2/11/2020,827,D,2020,0,0,1016,189
Bernie Sanders '20,2/19/2019,4/8/2020,414,D,2020,0,0,546,132
Beto O'Rourke,3/14/2019,11/1/2019,232,D,2020,0,0,523,291
Bill de Blasio,5/16/2019,9/20/2019,127,D,2020,0,0,460,333
Cory Booker,2/1/2019,1/13/2020,346,D,2020,0,0,564,218
Deval Patrick,11/14/2019,2/12/2020,90,D,2020,0,0,278,188
Elizabeth Warren,2/9/2019,3/5/2020,390,D,2020,0,0,556,166
Eric Swalwell,4/8/2019,7/8/2019,91,D,2020,0,0,498,407
Jay Inslee,3/1/2019,8/21/2019,173,D,2020,0,0,536,363
Joe Biden '20,4/25/2019,8/18/2020,481,D,2020,1,0,481,0
Joe Sestak,6/23/2019,12/1/2019,161,D,2020,0,0,422,261
John Delaney,7/28/2017,1/31/2020,917,D,2020,0,0,1117,200
John Hickenlooper,3/4/2019,8/15/2019,164,D,2020,0,0,533,369
Julián Castro,1/12/2019,1/2/2020,355,D,2020,0,0,584,229
Kamala Harris,1/21/2019,12/3/2019,316,D,2020,0,0,575,259
Kirsten Gillibrand,3/17/2019,8/28/2019,164,D,2020,0,0,520,356
Marianne Williamson,1/28/2019,1/10/2020,347,D,2020,0,0,568,221
Michael Bennet,5/2/2019,2/11/2020,285,D,2020,0,0,474,189
Michael Bloomberg,11/24/2019,3/4/2020,101,D,2020,0,0,268,167
Mike Gravel '20,4/2/2019,8/6/2019,126,D,2020,0,0,504,378
Pete Buttigieg,4/14/2019,3/1/2020,322,D,2020,0,0,492,170
Richard Ojeda,11/11/2018,1/25/2019,75,D,2020,0,0,646,571
Seth Moulton,4/22/2019,8/23/2019,123,D,2020,0,0,484,361
Steve Bullock,5/14/2019,12/2/2019,202,D,2020,0,0,462,260
Tim Ryan,4/4/2019,10/24/2019,203,D,2020,0,0,502,299
Tom Steyer,7/9/2019,2/29/2020,235,D,2020,0,0,406,171
Tulsi Gabbard,1/11/2019,3/19/2020,433,D,2020,0,0,585,152
Wayne Messam,3/28/2019,11/19/2019,236,D,2020,0,0,509,273
Alan Keyes,9/14/2007,4/15/2008,214,R,2008,0,0,355,141
Duncan Hunter,1/25/2007,1/19/2008,359,R,2008,0,0,587,228
Fred Thompson,9/5/2007,1/22/2008,139,R,2008,0,0,364,225
Jim Gilmore '08,4/26/2007,7/14/2007,79,R,2008,0,0,496,417
John McCain,4/25/2007,9/3/2008,497,R,2008,1,0,497,0
Mike Huckabee '08,1/28/2007,3/4/2008,401,R,2008,0,0,584,183
Mitt Romney '08,2/13/2007,2/7/2008,359,R,2008,0,0,568,209
Ron Paul '08,3/12/2007,6/12/2008,458,R,2008,0,0,541,83
Rudy Giuliani,2/14/2007,1/30/2008,350,R,2008,0,0,567,217
Sam Brownback,1/20/2007,10/19/2007,272,R,2008,0,0,592,320
Tom Tancredo,4/2/2007,12/20/2007,262,R,2008,0,0,520,258
Tommy Thompson,4/1/2007,8/12/2007,133,R,2008,0,0,521,388
Buddy Roemer,6/21/2011,2/22/2012,246,R,2012,0,0,434,188
Herman Cain,5/21/2011,12/3/2011,196,R,2012,0,0,465,269
Jon Huntsman Jr.,6/21/2011,1/16/2012,209,R,2012,0,0,434,225
Michele Bachmann,6/27/2011,1/4/2012,191,R,2012,0,0,428,237
Mitt Romney '12,6/2/2011,8/28/2012,453,R,2012,1,0,453,0
Newt Gingrich,5/11/2011,5/2/2012,357,R,2012,0,0,475,118
Rick Perry '12,8/13/2011,1/19/2012,159,R,2012,0,0,381,222
Rick Santorum '12,6/6/2011,4/10/2012,309,R,2012,0,0,449,140
Ron Paul '12,5/13/2011,8/28/2012,473,R,2012,0,0,473,0
Ben Carson,5/4/2015,3/2/2016,303,R,2016,0,0,442,139
Bobby Jindal,6/24/2015,11/17/2015,146,R,2016,0,0,391,245
Carly Fiorina,5/4/2015,2/10/2016,282,R,2016,0,0,442,160
Chris Christie,6/30/2015,2/10/2016,225,R,2016,0,0,385,160
Donald Trump,6/16/2015,7/19/2016,399,R,2016,1,0,399,0
George Pataki,5/28/2015,12/29/2015,215,R,2016,0,0,418,203
Jeb Bush,6/15/2015,2/20/2016,250,R,2016,0,0,400,150
Jim Gilmore '16,7/30/2015,2/12/2016,197,R,2016,0,0,355,158
John Kasich,7/21/2015,5/4/2016,288,R,2016,0,0,364,76
Lindsey Graham,6/1/2015,12/21/2015,203,R,2016,0,0,414,211
Marco Rubio,4/13/2015,3/15/2016,337,R,2016,0,0,463,126
Mike Huckabee '16,5/5/2015,2/1/2016,272,R,2016,0,0,441,169
Rand Paul,4/7/2015,2/3/2016,302,R,2016,0,0,469,167
Rick Perry '16,6/4/2015,9/11/2015,99,R,2016,0,0,411,312
Rick Santorum '16,5/27/2015,2/3/2016,252,R,2016,0,0,419,167
Scott Walker,7/13/2015,9/21/2015,70,R,2016,0,0,372,302
Ted Cruz,3/23/2015,5/3/2016,407,R,2016,0,0,484,77
Bill Weld,4/15/2019,3/18/2020,338,R,2020,0,0,497,159
Joe Walsh,8/25/2019,2/7/2020,166,R,2020,0,0,365,199
Mark Sanford,9/8/2019,11/12/2019,65,R,2020,0,0,351,286